district,fiscal_year,revenues,expenditures,net_change,beginning_balance,ending_balance,restated,cash,fb_nonspendable,fb_restricted,fb_committed,fb_assigned,fb_unassigned,fb_total,ok_rollforward,ok_fbsum
Ankeny CSD,2015,101123543.0,98708567.0,2462043.0,5140047.0,7602090.0,,19319408.0,668284.0,493243.0,,804200.0,5636363.0,7602090.0,Y,
Ankeny CSD,2016,110603804.0,105207733.0,5407810.0,7602090.0,13009900.0,,24849693.0,730713.0,1262616.0,,804200.0,10212371.0,13009900.0,Y,
Ankeny CSD,2017,118703866.0,113011856.0,5870709.0,13009900.0,18880609.0,,31304397.0,723800.0,1464112.0,,,16692697.0,18880609.0,Y,
Ankeny CSD,2018,123132306.0,121189928.0,2077260.0,18880609.0,20957869.0,,35188878.0,920454.0,1265917.0,,,14571498.0,20957869.0,Y,
Ankeny CSD,2019,125942625.0,131519828.0,-3424750.0,20957869.0,17533119.0,,28549206.0,1116286.0,1486253.0,,,11730580.0,17533119.0,Y,
Ankeny CSD,2020,137102479.0,135892411.0,2087272.0,17533119.0,19620391.0,,30573448.0,1354314.0,2637249.0,,,12052028.0,19620391.0,Y,
Ankeny CSD,2021,146552936.0,143576563.0,3362956.0,20018735.0,23381691.0,Y,34070504.0,1254020.0,3047962.0,,,17570627.0,23381691.0,Y,
Ankeny CSD,2022,148794966.0,148182929.0,1492489.0,23381691.0,24874180.0,,40866161.0,437923.0,3380465.0,,,16701092.0,24874180.0,Y,
Ankeny CSD,2023,157168326.0,157531067.0,135839.0,24874180.0,25010019.0,,43163961.0,962500.0,4142320.0,,421574.0,13508869.0,25010019.0,Y,
Ankeny CSD,2024,164304090.0,164885632.0,-132175.0,25010019.0,24877844.0,,40600285.0,1584325.0,3071504.0,,421574.0,17012685.0,24877844.0,Y,
Ankeny CSD,2025,173604694.0,167605001.0,6233328.0,24877844.0,31111172.0,,48724731.0,343075.0,2820642.0,,421574.0,22144084.0,31111172.0,Y,
Cedar Rapids CSD,2015,197694773.0,190627082.0,9375002.0,7668566.0,17043568.0,,32947723.0,295203.0,4219634.0,,0.0,12528731.0,17043568.0,Y,
Cedar Rapids CSD,2016,200482165.0,194144488.0,8602425.0,17043568.0,25645993.0,,38965873.0,292186.0,3821002.0,,0.0,21532805.0,25645993.0,Y,
Cedar Rapids CSD,2017,201877134.0,198668165.0,5716315.0,25645993.0,31362308.0,,44989301.0,275060.0,3807407.0,,0.0,27279841.0,31362308.0,Y,
Cedar Rapids CSD,2018,204740320.0,204879696.0,2399323.0,31362308.0,33761631.0,Y,51604106.0,228912.0,3407403.0,,0.0,30125316.0,33761631.0,Y,
Cedar Rapids CSD,2019,208748457.0,212630667.0,-1095390.0,33761631.0,32666241.0,,51205938.0,253323.0,2977707.0,1136680.0,0.0,28298531.0,32666241.0,Y,Y
Cedar Rapids CSD,2020,212205298.0,218169217.0,-4085500.0,32666241.0,28580741.0,,49884191.0,976904.0,2461725.0,138150.0,0.0,25003962.0,28580741.0,Y,Y
Cedar Rapids CSD,2021,224042625.0,221810281.0,4984609.0,28580741.0,33565350.0,,47485316.0,626403.0,2133679.0,0.0,0.0,30805268.0,33565350.0,Y,Y
Cedar Rapids CSD,2022,232730672.0,228523828.0,4299845.0,33565350.0,37865195.0,,48248071.0,573978.0,9203218.0,,0.0,28087999.0,37865195.0,Y,
Cedar Rapids CSD,2023,235412324.0,229342377.0,5000341.0,37865195.0,42865536.0,,58682402.0,584737.0,3955848.0,,0.0,38324951.0,42865536.0,Y,
Cedar Rapids CSD,2024,234484377.0,233188518.0,2734188.0,42865536.0,45599724.0,,63301068.0,1236510.0,4985955.0,,,39377259.0,45599724.0,Y,
Cedar Rapids CSD,2025,229926776.0,240345218.0,-9481683.0,45599724.0,36118041.0,,61439686.0,1306008.0,4034976.0,,,30777057.0,36118041.0,Y,
College CSD (Prairie),2015,50311153.0,55185919.0,-4874766.0,6446030.0,1571264.0,,817325.0,15343.0,310458.0,,,1245463.0,1571264.0,Y,
College CSD (Prairie),2016,57311634.0,57968117.0,-656483.0,1571264.0,914781.0,,4352600.0,13846.0,409569.0,,,491366.0,914781.0,Y,
College CSD (Prairie),2017,60302499.0,59014280.0,1288219.0,914781.0,2203000.0,,648314.0,5249.0,573243.0,,111784.0,1512724.0,2203000.0,Y,
College CSD (Prairie),2018,63930882.0,60085613.0,3845269.0,2203000.0,6048269.0,,4986931.0,6920.0,675246.0,,105038.0,5261065.0,6048269.0,Y,
College CSD (Prairie),2019,65719198.0,61725020.0,3994178.0,6048269.0,10042447.0,,8657898.0,6969.0,569335.0,,107230.0,9358913.0,10042447.0,Y,
College CSD (Prairie),2020,63987865.0,63091052.0,883951.0,10042447.0,10926398.0,,8136102.0,440997.0,440997.0,,111885.0,10373174.0,10926398.0,Y,
College CSD (Prairie),2021,68676282.0,65566658.0,3002773.0,10926398.0,13929171.0,,9048374.0,,437889.0,,120046.0,13370935.0,13929171.0,Y,
College CSD (Prairie),2022,69615113.0,69615997.0,-16191.0,13929171.0,13912980.0,,10283037.0,,764908.0,,140690.0,13006961.0,13912980.0,Y,
College CSD (Prairie),2023,71111767.0,72308222.0,-1225880.0,13912980.0,12687100.0,,8771710.0,,343660.0,,132450.0,12210480.0,12687100.0,Y,
College CSD (Prairie),2024,71926575.0,75383474.0,-3480749.0,12687100.0,9206351.0,,5612382.0,,333711.0,,139020.0,8733156.0,9206351.0,Y,
